t,target_x,target_y,target_z,actual_x,actual_y,actual_z,inner_x,inner_y,inner_z,position_error_x,position_error_y,position_error_z,position_error_norm,orientation_error_x,orientation_error_y,orientation_error_z,orientation_error_norm_rad,orientation_error_norm_deg,target_roll_deg,target_pitch_deg,target_yaw_deg,actual_roll_deg,actual_pitch_deg,actual_yaw_deg,error_roll_deg,error_pitch_deg,error_yaw_deg,inner_vx,inner_vy,inner_vz,filtered_fx,filtered_fy,filtered_fz,masked_fx,masked_fy,masked_fz
0.000000,0.307000,0.000000,0.367000,0.499437,-0.000121,0.281283,0.499437,-0.000121,0.281283,0.192437,-0.000121,-0.085717,0.210664,0.001225,-0.001168,0.785013,0.785015,44.978062,180.000000,-0.000000,0.000000,179.911866,0.034084,-44.977994,0.088134,-0.034084,44.977994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.307000,0.000000,0.367000,0.499438,-0.000122,0.281286,0.499437,-0.000121,0.281283,0.192438,-0.000122,-0.085714,0.210664,0.001221,-0.001161,0.785013,0.785015,44.978051,180.000000,-0.000000,0.000000,179.912216,0.033804,-44.977984,0.087784,-0.033804,44.977984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001891,-0.000681,-0.023025
0.002000,0.307000,0.000000,0.367000,0.499437,-0.000122,0.281283,0.499437,-0.000121,0.281283,0.192437,-0.000122,-0.085717,0.210664,0.001224,-0.001165,0.785016,0.785018,44.978216,180.000000,-0.000000,0.000000,179.911946,0.033971,-44.978148,0.088054,-0.033971,44.978148,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008530,-0.008405,-0.003651
0.003000,0.307000,0.000000,0.367000,0.499437,-0.000122,0.281285,0.499437,-0.000121,0.281283,0.192437,-0.000122,-0.085715,0.210664,0.001224,-0.001164,0.785020,0.785021,44.978417,180.000000,-0.000000,0.000000,179.912021,0.033911,-44.978349,0.087979,-0.033911,44.978349,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018329,-0.022169,-0.015891
0.004000,0.307000,0.000000,0.367000,0.499436,-0.000121,0.281282,0.499437,-0.000121,0.281283,0.192436,-0.000121,-0.085718,0.210664,0.001226,-0.001168,0.785017,0.785019,44.978269,180.000000,-0.000000,0.000000,179.911806,0.034064,-44.978201,0.088194,-0.034064,44.978201,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.024813,-0.007812,0.026865
0.005000,0.307000,0.000000,0.367000,0.499436,-0.000122,0.281282,0.499437,-0.000121,0.281283,0.192436,-0.000122,-0.085718,0.210663,0.001221,-0.001169,0.785020,0.785022,44.978432,180.000000,-0.000000,0.000000,179.912022,0.034238,-44.978363,0.087978,-0.034238,44.978363,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.037540,-0.001344,-0.007884
0.006000,0.307000,0.000000,0.367000,0.499436,-0.000122,0.281281,0.499437,-0.000121,0.281283,0.192436,-0.000122,-0.085719,0.210664,0.001224,-0.001174,0.785027,0.785029,44.978826,180.000000,-0.000000,0.000000,179.911808,0.034408,-44.978759,0.088192,-0.034408,44.978759,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.038292,0.016349,0.060218
0.007000,0.307000,0.000000,0.367000,0.499435,-0.000121,0.281281,0.499437,-0.000121,0.281283,0.192435,-0.000121,-0.085719,0.210663,0.001222,-0.001172,0.785023,0.785025,44.978615,180.000000,-0.000000,0.000000,179.911913,0.034374,-44.978547,0.088087,-0.034374,44.978547,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.048630,0.019599,0.000374
0.008000,0.307000,0.000000,0.367000,0.499433,-0.000122,0.281279,0.499437,-0.000121,0.281283,0.192433,-0.000122,-0.085721,0.210662,0.001228,-0.001175,0.785011,0.785013,44.977908,180.000000,-0.000000,0.000000,179.911553,0.034391,-44.977839,0.088447,-0.034391,44.977839,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.039880,0.002931,0.055628
0.009000,0.307000,0.000000,0.367000,0.499431,-0.000122,0.281277,0.499437,-0.000121,0.281283,0.192431,-0.000122,-0.085723,0.210661,0.001234,-0.001179,0.785004,0.785006,44.977511,180.000000,-0.000000,0.000000,179.911162,0.034487,-44.977443,0.088838,-0.034487,44.977443,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008927,0.019869,0.032284
0.010000,0.307000,0.000000,0.367000,0.499429,-0.000123,0.281274,0.499437,-0.000121,0.281283,0.192429,-0.000123,-0.085726,0.210660,0.001236,-0.001183,0.785009,0.785011,44.977829,180.000000,-0.000000,0.000000,179.910943,0.034634,-44.977759,0.089057,-0.034634,44.977759,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008457,0.005816,0.033569
0.011000,0.307000,0.000000,0.367000,0.499426,-0.000123,0.281273,0.499437,-0.000121,0.281283,0.192426,-0.000123,-0.085727,0.210659,0.001241,-0.001187,0.785005,0.785007,44.977562,180.000000,-0.000000,0.000000,179.910621,0.034730,-44.977494,0.089379,-0.034730,44.977494,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007785,-0.008964,-0.014660
0.012000,0.307000,0.000000,0.367000,0.499427,-0.000122,0.281273,0.499437,-0.000121,0.281283,0.192427,-0.000122,-0.085727,0.210660,0.001242,-0.001186,0.785001,0.785003,44.977375,180.000000,-0.000000,0.000000,179.910618,0.034649,-44.977305,0.089382,-0.034649,44.977305,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001199,0.037423,-0.005633
0.013000,0.307000,0.000000,0.367000,0.499427,-0.000123,0.281271,0.499437,-0.000121,0.281283,0.192427,-0.000123,-0.085729,0.210660,0.001244,-0.001185,0.785004,0.785005,44.977500,180.000000,-0.000000,0.000000,179.910512,0.034589,-44.977431,0.089488,-0.034589,44.977431,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023255,-0.023927,-0.074737
0.014000,0.307000,0.000000,0.367000,0.499427,-0.000121,0.281272,0.499437,-0.000121,0.281283,0.192427,-0.000121,-0.085728,0.210659,0.001244,-0.001187,0.784992,0.784994,44.976848,180.000000,-0.000000,0.000000,179.910468,0.034662,-44.976779,0.089532,-0.034662,44.976779,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019662,-0.023509,-0.011511
0.015000,0.307000,0.000000,0.367000,0.499426,-0.000122,0.281271,0.499437,-0.000121,0.281283,0.192426,-0.000122,-0.085729,0.210659,0.001244,-0.001188,0.784992,0.784994,44.976824,180.000000,-0.000000,0.000000,179.910453,0.034695,-44.976755,0.089547,-0.034695,44.976755,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020610,-0.021296,-0.005969
0.016000,0.307000,0.000000,0.367000,0.499424,-0.000125,0.281269,0.499437,-0.000121,0.281283,0.192424,-0.000125,-0.085731,0.210658,0.001246,-0.001193,0.785003,0.785005,44.977459,180.000000,-0.000000,0.000000,179.910219,0.034932,-44.977387,0.089781,-0.034932,44.977387,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.020939,-0.005954,-0.026612
0.017000,0.307000,0.000000,0.367000,0.499423,-0.000124,0.281270,0.499437,-0.000121,0.281283,0.192423,-0.000124,-0.085730,0.210657,0.001248,-0.001192,0.784997,0.784999,44.977139,180.000000,-0.000000,0.000000,179.910136,0.034827,-44.977069,0.089864,-0.034827,44.977069,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.027147,-0.021035,0.013917
0.018000,0.307000,0.000000,0.367000,0.499420,-0.000125,0.281265,0.499437,-0.000121,0.281283,0.192420,-0.000125,-0.085735,0.210656,0.001251,-0.001203,0.785000,0.785002,44.977304,180.000000,-0.000000,0.000000,179.909770,0.035349,-44.977233,0.090230,-0.035349,44.977233,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.019848,-0.012432,0.029392
0.019000,0.307000,0.000000,0.367000,0.499420,-0.000124,0.281266,0.499437,-0.000121,0.281283,0.192420,-0.000124,-0.085734,0.210655,0.001254,-0.001201,0.785001,0.785003,44.977367,180.000000,-0.000000,0.000000,179.909654,0.035162,-44.977296,0.090346,-0.035162,44.977296,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.034177,0.003674,-0.013089
0.020000,0.307000,0.000000,0.367000,0.499416,-0.000125,0.281260,0.499437,-0.000121,0.281283,0.192416,-0.000125,-0.085740,0.210655,0.001261,-0.001211,0.784996,0.784998,44.977091,180.000000,-0.000000,0.000000,179.909078,0.035522,-44.977020,0.090922,-0.035522,44.977020,-0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.024888,0.031226,-0.041128
0.021000,0.307000,0.000000,0.367000,0.499415,-0.000125,0.281260,0.499437,-0.000121,0.281283,0.192415,-0.000125,-0.085740,0.210654,0.001262,-0.001210,0.785001,0.785002,44.977330,180.000000,-0.000000,0.000000,179.909037,0.035470,-44.977257,0.090963,-0.035470,44.977257,-0.000002,0.000000,0.000001,0.000000,0.000000,0.000000,0.019843,0.023623,-0.033004
0.022000,0.307000,0.000000,0.367000,0.499413,-0.000125,0.281257,0.499437,-0.000121,0.281283,0.192413,-0.000125,-0.085743,0.210653,0.001266,-0.001216,0.785000,0.785002,44.977320,180.000000,-0.000000,0.000000,179.908686,0.035712,-44.977247,0.091314,-0.035712,44.977247,-0.000002,0.000000,0.000001,0.000000,0.000000,0.000000,-0.028479,-0.013197,-0.066789
0.023000,0.307000,0.000000,0.367000,0.499410,-0.000125,0.281254,0.499437,-0.000121,0.281283,0.192410,-0.000125,-0.085746,0.210652,0.001272,-0.001227,0.784998,0.785000,44.977196,180.000000,-0.000000,0.000000,179.908144,0.036131,-44.977124,0.091856,-0.036131,44.977124,-0.000002,0.000000,0.000001,0.000000,0.000000,0.000000,0.007813,-0.028878,-0.035350
0.024000,0.307000,0.000000,0.367000,0.499410,-0.000125,0.281256,0.499437,-0.000121,0.281283,0.192410,-0.000125,-0.085744,0.210650,0.001275,-0.001221,0.784986,0.784988,44.976472,180.000000,-0.000000,0.000000,179.908138,0.035775,-44.976397,0.091862,-0.035775,44.976397,-0.000003,0.000000,0.000001,0.000000,0.000000,0.000000,-0.010296,0.005766,0.033068
0.025000,0.307000,0.000000,0.367000,0.499408,-0.000125,0.281252,0.499437,-0.000121,0.281283,0.192408,-0.000125,-0.085748,0.210650,0.001279,-0.001228,0.784990,0.784992,44.976713,180.000000,-0.000000,0.000000,179.907760,0.036049,-44.976639,0.092240,-0.036049,44.976639,-0.000003,0.000000,0.000001,0.000000,0.000000,0.000000,0.006983,-0.012386,0.006189
