t,target_x,target_y,target_z,actual_x,actual_y,actual_z,inner_x,inner_y,inner_z,position_error_x,position_error_y,position_error_z,position_error_norm,orientation_error_x,orientation_error_y,orientation_error_z,orientation_error_norm_rad,orientation_error_norm_deg,target_roll_deg,target_pitch_deg,target_yaw_deg,actual_roll_deg,actual_pitch_deg,actual_yaw_deg,error_roll_deg,error_pitch_deg,error_yaw_deg,inner_vx,inner_vy,inner_vz,filtered_fx,filtered_fy,filtered_fz,masked_fx,masked_fy,masked_fz
0.000000,0.307000,0.000000,0.367000,0.499455,-0.000116,0.281304,0.499455,-0.000116,0.281304,0.192455,-0.000116,-0.085696,0.210672,0.001185,-0.001116,0.785025,0.785027,44.978742,180.000000,-0.000000,0.000000,179.915033,0.032290,-44.978679,0.084967,-0.032290,44.978679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.307000,0.000000,0.367000,0.499456,-0.000122,0.281306,0.499455,-0.000116,0.281304,0.192456,-0.000122,-0.085694,0.210672,0.001185,-0.001116,0.785028,0.785030,44.978882,180.000000,-0.000000,0.000000,179.915054,0.032252,-44.978819,0.084946,-0.032252,44.978819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020294,0.005886,0.041007
0.002000,0.307000,0.000000,0.367000,0.499456,-0.000117,0.281305,0.499455,-0.000116,0.281304,0.192456,-0.000117,-0.085695,0.210673,0.001185,-0.001117,0.785026,0.785028,44.978791,180.000000,-0.000000,0.000000,179.914999,0.032290,-44.978728,0.085001,-0.032290,44.978728,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005041,0.008147,0.023653
0.003000,0.307000,0.000000,0.367000,0.499456,-0.000117,0.281305,0.499455,-0.000116,0.281304,0.192456,-0.000117,-0.085695,0.210673,0.001186,-0.001115,0.785022,0.785024,44.978540,180.000000,-0.000000,0.000000,179.915021,0.032204,-44.978477,0.084979,-0.032204,44.978477,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009471,0.005132,0.026608
0.004000,0.307000,0.000000,0.367000,0.499454,-0.000118,0.281301,0.499455,-0.000116,0.281304,0.192454,-0.000118,-0.085699,0.210673,0.001188,-0.001124,0.785026,0.785028,44.978777,180.000000,-0.000000,0.000000,179.914677,0.032627,-44.978713,0.085323,-0.032627,44.978713,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034604,0.007145,-0.033837
0.005000,0.307000,0.000000,0.367000,0.499454,-0.000119,0.281304,0.499455,-0.000116,0.281304,0.192454,-0.000119,-0.085696,0.210672,0.001187,-0.001118,0.785032,0.785033,44.979100,180.000000,-0.000000,0.000000,179.914907,0.032337,-44.979037,0.085093,-0.032337,44.979037,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005888,0.017260,-0.020485
0.006000,0.307000,0.000000,0.367000,0.499456,-0.000118,0.281304,0.499455,-0.000116,0.281304,0.192456,-0.000118,-0.085696,0.210673,0.001180,-0.001120,0.785036,0.785038,44.979346,180.000000,-0.000000,0.000000,179.915229,0.032585,-44.979283,0.084771,-0.032585,44.979283,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010040,-0.018323,-0.025712
0.007000,0.307000,0.000000,0.367000,0.499454,-0.000118,0.281302,0.499455,-0.000116,0.281304,0.192454,-0.000118,-0.085698,0.210672,0.001180,-0.001123,0.785040,0.785042,44.979602,180.000000,-0.000000,0.000000,179.915145,0.032749,-44.979539,0.084855,-0.032749,44.979539,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.017255,0.045240,-0.020130
0.008000,0.307000,0.000000,0.367000,0.499451,-0.000118,0.281298,0.499455,-0.000116,0.281304,0.192451,-0.000118,-0.085702,0.210671,0.001184,-0.001131,0.785039,0.785040,44.979492,180.000000,-0.000000,0.000000,179.914789,0.033046,-44.979428,0.085211,-0.033046,44.979428,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001323,0.014100,-0.079893
0.009000,0.307000,0.000000,0.367000,0.499452,-0.000118,0.281298,0.499455,-0.000116,0.281304,0.192452,-0.000118,-0.085702,0.210671,0.001186,-0.001128,0.785033,0.785035,44.979173,180.000000,-0.000000,0.000000,179.914737,0.032896,-44.979109,0.085263,-0.032896,44.979109,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014617,-0.022276,0.004811
