t,target_x,target_y,target_z,actual_x,actual_y,actual_z,inner_x,inner_y,inner_z,position_error_x,position_error_y,position_error_z,position_error_norm,orientation_error_x,orientation_error_y,orientation_error_z,orientation_error_norm_rad,orientation_error_norm_deg,target_roll_deg,target_pitch_deg,target_yaw_deg,actual_roll_deg,actual_pitch_deg,actual_yaw_deg,error_roll_deg,error_pitch_deg,error_yaw_deg,inner_vx,inner_vy,inner_vz,filtered_fx,filtered_fy,filtered_fz,masked_fx,masked_fy,masked_fz
0.000000,0.307000,0.000000,0.367000,0.308781,-0.000300,0.363975,0.308781,-0.000300,0.363975,0.001781,-0.000300,-0.003025,0.003523,0.000245,-0.009565,0.012989,0.016132,0.924317,180.000000,-0.000000,0.000000,179.982397,0.547934,-0.744278,0.017603,-0.547934,0.744278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.307000,0.000000,0.367000,0.308781,-0.000300,0.363974,0.308781,-0.000300,0.363975,0.001781,-0.000300,-0.003026,0.003524,0.000245,-0.009571,0.012999,0.016144,0.924986,180.000000,-0.000000,0.000000,179.982389,0.548250,-0.744876,0.017611,-0.548250,0.744876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000615,0.007651,0.028442
0.002000,0.307000,0.000000,0.367000,0.308781,-0.000300,0.363973,0.308781,-0.000300,0.363975,0.001781,-0.000300,-0.003027,0.003525,0.000242,-0.009573,0.012989,0.016137,0.924610,180.000000,-0.000000,0.000000,179.982585,0.548388,-0.744311,0.017415,-0.548388,0.744311,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001388,-0.019372,0.006738
0.003000,0.307000,0.000000,0.367000,0.308781,-0.000300,0.363974,0.308781,-0.000300,0.363975,0.001781,-0.000300,-0.003026,0.003524,0.000243,-0.009571,0.012988,0.016136,0.924498,180.000000,-0.000000,0.000000,179.982541,0.548274,-0.744255,0.017459,-0.548274,0.744255,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004247,-0.025928,-0.017293
0.004000,0.307000,0.000000,0.367000,0.308780,-0.000299,0.363973,0.308781,-0.000300,0.363975,0.001780,-0.000299,-0.003027,0.003524,0.000242,-0.009574,0.012985,0.016134,0.924422,180.000000,-0.000000,0.000000,179.982590,0.548419,-0.744055,0.017410,-0.548419,0.744055,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011577,0.011337,0.017049
0.005000,0.307000,0.000000,0.367000,0.308780,-0.000298,0.363972,0.308781,-0.000300,0.363975,0.001780,-0.000298,-0.003028,0.003525,0.000237,-0.009573,0.012988,0.016136,0.924545,180.000000,-0.000000,0.000000,179.982837,0.548371,-0.744248,0.017163,-0.548371,0.744248,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.023695,0.006747,-0.025154
0.006000,0.307000,0.000000,0.367000,0.308779,-0.000298,0.363970,0.308781,-0.000300,0.363975,0.001779,-0.000298,-0.003030,0.003527,0.000242,-0.009580,0.012978,0.016132,0.924317,180.000000,-0.000000,0.000000,179.982545,0.548772,-0.743663,0.017455,-0.548772,0.743663,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.019029,-0.009778,-0.005224
0.007000,0.307000,0.000000,0.367000,0.308779,-0.000299,0.363969,0.308781,-0.000300,0.363975,0.001779,-0.000299,-0.003031,0.003527,0.000241,-0.009581,0.012986,0.016140,0.924728,180.000000,-0.000000,0.000000,179.982629,0.548860,-0.744111,0.017371,-0.548860,0.744111,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010848,0.007031,0.007421
0.008000,0.307000,0.000000,0.367000,0.308780,-0.000300,0.363971,0.308781,-0.000300,0.363975,0.001780,-0.000300,-0.003029,0.003526,0.000241,-0.009573,0.012977,0.016128,0.924050,180.000000,-0.000000,0.000000,179.982655,0.548363,-0.743635,0.017345,-0.548363,0.743635,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011533,-0.011188,0.037802
0.009000,0.307000,0.000000,0.367000,0.308778,-0.000297,0.363968,0.308781,-0.000300,0.363975,0.001778,-0.000297,-0.003032,0.003528,0.000242,-0.009582,0.012974,0.016131,0.924218,180.000000,-0.000000,0.000000,179.982552,0.548909,-0.743440,0.017448,-0.548909,0.743440,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007009,-0.004539,-0.038838
