t,target_x,target_y,target_z,actual_x,actual_y,actual_z,inner_x,inner_y,inner_z,position_error_x,position_error_y,position_error_z,position_error_norm,orientation_error_x,orientation_error_y,orientation_error_z,orientation_error_norm_rad,orientation_error_norm_deg,target_roll_deg,target_pitch_deg,target_yaw_deg,actual_roll_deg,actual_pitch_deg,actual_yaw_deg,error_roll_deg,error_pitch_deg,error_yaw_deg,inner_vx,inner_vy,inner_vz,filtered_fx,filtered_fy,filtered_fz,masked_fx,masked_fy,masked_fz
0.000000,0.307000,0.000000,0.367000,0.499436,-0.000233,0.281277,0.499436,-0.000233,0.281277,0.192436,-0.000233,-0.085723,0.210665,0.001199,-0.001173,0.785252,0.785253,44.991703,180.000000,-0.000000,0.000000,179.913072,0.034864,-44.991637,0.086928,-0.034864,44.991637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.307000,0.000000,0.367000,0.499436,-0.000238,0.281276,0.499436,-0.000233,0.281277,0.192436,-0.000238,-0.085724,0.210666,0.001198,-0.001176,0.785266,0.785268,44.992555,180.000000,-0.000000,0.000000,179.913093,0.035056,-44.992490,0.086907,-0.035056,44.992490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005043,-0.012920,-0.027681
0.002000,0.307000,0.000000,0.367000,0.499435,-0.000237,0.281274,0.499436,-0.000233,0.281277,0.192435,-0.000237,-0.085726,0.210666,0.001199,-0.001178,0.785262,0.785264,44.992292,180.000000,-0.000000,0.000000,179.912968,0.035119,-44.992224,0.087032,-0.035119,44.992224,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001713,-0.009118,0.048801
0.003000,0.307000,0.000000,0.367000,0.499436,-0.000235,0.281278,0.499436,-0.000233,0.281277,0.192436,-0.000235,-0.085722,0.210666,0.001195,-0.001172,0.785260,0.785262,44.992197,180.000000,-0.000000,0.000000,179.913330,0.034925,-44.992132,0.086670,-0.034925,44.992132,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014336,-0.015064,-0.010000
0.004000,0.307000,0.000000,0.367000,0.499435,-0.000235,0.281276,0.499436,-0.000233,0.281277,0.192435,-0.000235,-0.085724,0.210665,0.001192,-0.001178,0.785268,0.785269,44.992620,180.000000,-0.000000,0.000000,179.913313,0.035311,-44.992555,0.086687,-0.035311,44.992555,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006121,0.012540,0.015055
0.005000,0.307000,0.000000,0.367000,0.499431,-0.000235,0.281272,0.499436,-0.000233,0.281277,0.192431,-0.000235,-0.085728,0.210664,0.001201,-0.001186,0.785264,0.785266,44.992436,180.000000,-0.000000,0.000000,179.912715,0.035556,-44.992369,0.087285,-0.035556,44.992369,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033980,0.004473,-0.019284
0.006000,0.307000,0.000000,0.367000,0.499431,-0.000237,0.281270,0.499436,-0.000233,0.281277,0.192431,-0.000237,-0.085730,0.210664,0.001203,-0.001188,0.785264,0.785266,44.992437,180.000000,-0.000000,0.000000,179.912560,0.035569,-44.992369,0.087440,-0.035569,44.992369,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.027939,0.008720,-0.009691
0.007000,0.307000,0.000000,0.367000,0.499430,-0.000237,0.281269,0.499436,-0.000233,0.281277,0.192430,-0.000237,-0.085731,0.210664,0.001211,-0.001187,0.785249,0.785251,44.991577,180.000000,-0.000000,0.000000,179.912189,0.035388,-44.991509,0.087811,-0.035388,44.991509,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.024438,0.007667,-0.008481
0.008000,0.307000,0.000000,0.367000,0.499429,-0.000239,0.281268,0.499436,-0.000233,0.281277,0.192429,-0.000239,-0.085732,0.210663,0.001219,-0.001185,0.785251,0.785253,44.991660,180.000000,-0.000000,0.000000,179.911795,0.035110,-44.991592,0.088205,-0.035110,44.991592,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.026698,0.029763,0.024935
0.009000,0.307000,0.000000,0.367000,0.499427,-0.000242,0.281267,0.499436,-0.000233,0.281277,0.192427,-0.000242,-0.085733,0.210662,0.001224,-0.001185,0.785256,0.785258,44.991950,180.000000,-0.000000,0.000000,179.911516,0.034978,-44.991881,0.088484,-0.034978,44.991881,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004993,0.001733,0.041300
0.010000,0.307000,0.000000,0.367000,0.499425,-0.000241,0.281263,0.499436,-0.000233,0.281277,0.192425,-0.000241,-0.085737,0.210661,0.001233,-0.001193,0.785245,0.785247,44.991343,180.000000,-0.000000,0.000000,179.910928,0.035223,-44.991273,0.089072,-0.035223,44.991273,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.023814,0.006480,-0.022288
